section,strat,strat2,sampleid,del13Ctoc,measurement,value
Bonenburg,Triletes Beds,Event Beds,1600,-23.3,TN,0.05
Bonenburg,Triletes Beds,Event Beds,1600,-23.3,TOCcfb,0.4
Bonenburg,Triletes Beds,Event Beds,1600,-23.3,Na_Al,0.011607459286230143
Bonenburg,Triletes Beds,Event Beds,1600,-23.3,K_Al,0.13359463491430024
Bonenburg,Triletes Beds,Event Beds,1700,-23,height,18.81
Bonenburg,Triletes Beds,Event Beds,1700,-23,CaCO3,10.25
Bonenburg,Triletes Beds,Event Beds,1700,-23,TN,0.03
Bonenburg,Triletes Beds,Event Beds,1700,-23,TOCcfb,0.36
Bonenburg,Triletes Beds,Event Beds,1700,-23,Na_Al,0.011140349991591962
Bonenburg,Triletes Beds,Event Beds,1700,-23,K_Al,0.12388904177950064
Bonenburg,Triletes Beds,Event Beds,1755,-23.2,height,19.23
Bonenburg,Triletes Beds,Event Beds,1755,-23.2,CaCO3,13.9
Bonenburg,Triletes Beds,Event Beds,1755,-23.2,TN,0.02
Bonenburg,Triletes Beds,Event Beds,1755,-23.2,TOCcfb,0.22
Bonenburg,Triletes Beds,Event Beds,1755,-23.2,Na_Al,0.016457335214851765
Bonenburg,Triletes Beds,Event Beds,1755,-23.2,K_Al,0.12555421707223585
Bonenburg,Triletes Beds,Event Beds,1800,-24,height,19.62
Bonenburg,Triletes Beds,Event Beds,1800,-24,CaCO3,8.65
Bonenburg,Triletes Beds,Event Beds,1800,-24,TN,0.04
Bonenburg,Triletes Beds,Event Beds,1800,-24,TOCcfb,0.36
Bonenburg,Triletes Beds,Event Beds,1800,-24,Na_Al,0.007439010715950932
Bonenburg,Triletes Beds,Event Beds,1800,-24,K_Al,0.1262725572657835
Bonenburg,Triletes Beds,Event Beds,1850,-23.4,height,20.02
Bonenburg,Triletes Beds,Event Beds,1850,-23.4,CaCO3,11.61
Bonenburg,Triletes Beds,Event Beds,1850,-23.4,TN,0.03
Bonenburg,Triletes Beds,Event Beds,1850,-23.4,TOCcfb,0.34
Bonenburg,Triletes Beds,Event Beds,1850,-23.4,Na_Al,0.007181382639208043
Bonenburg,Triletes Beds,Event Beds,1850,-23.4,K_Al,0.11683316025200632
Bonenburg,Triletes Beds,Event Beds,1900,-24,height,20.43
Bonenburg,Triletes Beds,Event Beds,1900,-24,CaCO3,9.74
Bonenburg,Triletes Beds,Event Beds,1900,-24,TN,0.03
Bonenburg,Triletes Beds,Event Beds,1900,-24,TOCcfb,0.36
Bonenburg,Triletes Beds,Event Beds,1900,-24,Na_Al,0.015703866855617588
Bonenburg,Triletes Beds,Event Beds,1900,-24,K_Al,0.11517395566908879
Bonenburg,Triletes Beds,Event Beds,1950,-23.8,height,20.87
Bonenburg,Triletes Beds,Event Beds,1950,-23.8,CaCO3,10.2
Bonenburg,Triletes Beds,Event Beds,1950,-23.8,TN,0.03
Bonenburg,Triletes Beds,Event Beds,1950,-23.8,TOCcfb,0.36
Bonenburg,Triletes Beds,Event Beds,1950,-23.8,Na_Al,0.012343001411138824
Bonenburg,Triletes Beds,Event Beds,1950,-23.8,K_Al,0.11624588718584597
Bonenburg,Triletes Beds,Event Beds,2000,-24.8,height,21.29
Bonenburg,Triletes Beds,Event Beds,2000,-24.8,CaCO3,10.34
Bonenburg,Triletes Beds,Event Beds,2000,-24.8,TN,0.03
Bonenburg,Triletes Beds,Event Beds,2000,-24.8,TOCcfb,0.46
Bonenburg,Triletes Beds,Event Beds,2000,-24.8,Na_Al,0.009708908372560594
Bonenburg,Triletes Beds,Event Beds,2000,-24.8,K_Al,0.12886782287822632
Bonenburg,Triletes Beds,Event Beds,2095,-23.5,height,22.11
Bonenburg,Triletes Beds,Event Beds,2095,-23.5,CaCO3,10.36
Bonenburg,Triletes Beds,Event Beds,2095,-23.5,TN,0.04
Bonenburg,Triletes Beds,Event Beds,2095,-23.5,TOCcfb,0.33
Bonenburg,Triletes Beds,Event Beds,2095,-23.5,Na_Al,0.010449101723715406
Bonenburg,Triletes Beds,Event Beds,2095,-23.5,K_Al,0.14294076163669983
Bonenburg,Triletes Beds,Event Beds,2150,-23.3,height,22.5
Bonenburg,Triletes Beds,Event Beds,2150,-23.3,CaCO3,13.17
Bonenburg,Triletes Beds,Event Beds,2150,-23.3,TN,0.02
Bonenburg,Triletes Beds,Event Beds,2150,-23.3,TOCcfb,0.14
Bonenburg,Triletes Beds,Event Beds,2150,-23.3,Na_Al,0.02248768724248358
Bonenburg,Triletes Beds,Event Beds,2150,-23.3,K_Al,0.1478967369489212
Bonenburg,Triletes Beds,Event Beds,2250,-23.4,height,23.31
Bonenburg,Triletes Beds,Event Beds,2250,-23.4,CaCO3,15.85
Bonenburg,Triletes Beds,Event Beds,2250,-23.4,TN,0.02
Bonenburg,Triletes Beds,Event Beds,2250,-23.4,TOCcfb,0.21
Bonenburg,Triletes Beds,Event Beds,2250,-23.4,Na_Al,0.01294271786388342
Bonenburg,Triletes Beds,Event Beds,2250,-23.4,K_Al,0.13149804616799923
Bonenburg,Triletes Beds,Event Beds,2300,-23.3,height,23.73
Bonenburg,Triletes Beds,Event Beds,2300,-23.3,CaCO3,7.25
Bonenburg,Triletes Beds,Event Beds,2300,-23.3,TN,0.03
Bonenburg,Triletes Beds,Event Beds,2300,-23.3,TOCcfb,0.17
Bonenburg,Triletes Beds,Event Beds,2300,-23.3,Na_Al,0.007059146338966203
Bonenburg,Triletes Beds,Event Beds,2300,-23.3,K_Al,0.10169615234611033
Bonenburg,Triletes Beds,Event Beds,2350,-23.3,height,24.17
Bonenburg,Triletes Beds,Event Beds,2350,-23.3,CaCO3,13.05
Bonenburg,Triletes Beds,Event Beds,2350,-23.3,TN,0.03
Bonenburg,Triletes Beds,Event Beds,2350,-23.3,TOCcfb,0.24
Bonenburg,Triletes Beds,Event Beds,2350,-23.3,Na_Al,0.01807079945160193
Bonenburg,Triletes Beds,Event Beds,2350,-23.3,K_Al,0.1500877997185348
Bonenburg,Triletes Beds,Event Beds,2400,-23.6,height,24.65
Bonenburg,Triletes Beds,Event Beds,2400,-23.6,CaCO3,9.46
Bonenburg,Triletes Beds,Event Beds,2400,-23.6,TN,0.04
Bonenburg,Triletes Beds,Event Beds,2400,-23.6,TOCcfb,0.55
Bonenburg,Triletes Beds,Event Beds,2400,-23.6,Na_Al,0.014469419476028086
Bonenburg,Triletes Beds,Event Beds,2400,-23.6,K_Al,0.14968771799803607
Bonenburg,Triletes Beds,Event Beds,2450,-23.3,height,25.03
Bonenburg,Triletes Beds,Event Beds,2450,-23.3,CaCO3,13.41
Bonenburg,Triletes Beds,Event Beds,2450,-23.3,TN,0.03
Bonenburg,Triletes Beds,Event Beds,2450,-23.3,TOCcfb,0.31
Bonenburg,Triletes Beds,Event Beds,2450,-23.3,Na_Al,0.01739775436998615
Bonenburg,Triletes Beds,Event Beds,2450,-23.3,K_Al,0.14349053379684096
Bonenburg,Triletes Beds,Event Beds,2500,-23.5,height,25.4
Bonenburg,Triletes Beds,Event Beds,2500,-23.5,CaCO3,15.39
Bonenburg,Triletes Beds,Event Beds,2500,-23.5,TN,0.02
Bonenburg,Triletes Beds,Event Beds,2500,-23.5,TOCcfb,0.12
Bonenburg,Triletes Beds,Event Beds,2500,-23.5,Na_Al,0.033012923177254884
Bonenburg,Triletes Beds,Event Beds,2500,-23.5,K_Al,0.14965700810051377
Bonenburg,Triletes Beds,Event Beds,2550,-23.2,height,25.81
Bonenburg,Triletes Beds,Event Beds,2550,-23.2,CaCO3,14.99
Bonenburg,Triletes Beds,Event Beds,2550,-23.2,TN,0.03
Bonenburg,Triletes Beds,Event Beds,2550,-23.2,TOCcfb,0.15
Bonenburg,Triletes Beds,Event Beds,2550,-23.2,Na_Al,0.011285029861612639
Bonenburg,Triletes Beds,Event Beds,2550,-23.2,K_Al,0.14101655907620583
Bonenburg,Triletes Beds,Event Beds,2650,-23.4,height,26.73
Bonenburg,Triletes Beds,Event Beds,2650,-23.4,CaCO3,14.8
Bonenburg,Triletes Beds,Event Beds,2650,-23.4,TN,0.02
Bonenburg,Triletes Beds,Event Beds,2650,-23.4,TOCcfb,0.14
Bonenburg,Triletes Beds,Event Beds,2650,-23.4,Na_Al,0.021027501684587578
Bonenburg,Triletes Beds,Event Beds,2650,-23.4,K_Al,0.15174898178514837
Bonenburg,Triletes Beds,Event Beds,2700,-23.4,height,27.2
Bonenburg,Triletes Beds,Event Beds,2700,-23.4,CaCO3,12.38
Bonenburg,Triletes Beds,Event Beds,2700,-23.4,TN,0.03
Bonenburg,Triletes Beds,Event Beds,2700,-23.4,TOCcfb,0.18
Bonenburg,Triletes Beds,Event Beds,2700,-23.4,Na_Al,0.02062932210371227
Bonenburg,Triletes Beds,Event Beds,2700,-23.4,K_Al,0.17472249491976422
Bonenburg,Triletes Beds,Event Beds,2750,-23.2,height,27.47
Bonenburg,Triletes Beds,Event Beds,2750,-23.2,CaCO3,11.23
Bonenburg,Triletes Beds,Event Beds,2750,-23.2,TN,0.02
Bonenburg,Triletes Beds,Event Beds,2750,-23.2,TOCcfb,0.11
Bonenburg,Triletes Beds,Event Beds,2750,-23.2,Na_Al,0.028341792553210367
Bonenburg,Triletes Beds,Event Beds,2750,-23.2,K_Al,0.1514979023582862
Bonenburg,Triletes Beds,Event Beds,2770,-23.5,height,27.65
Bonenburg,Triletes Beds,Event Beds,2770,-23.5,CaCO3,11.99
Bonenburg,Triletes Beds,Event Beds,2770,-23.5,TN,0.02
Bonenburg,Triletes Beds,Event Beds,2770,-23.5,TOCcfb,0.17
Bonenburg,Triletes Beds,Event Beds,2770,-23.5,Na_Al,0.020019333795600502
Bonenburg,Triletes Beds,Event Beds,2770,-23.5,K_Al,0.17507607406577244
Bonenburg,Triletes Beds,Event Beds,2800,-23.1,height,27.88
Bonenburg,Triletes Beds,Event Beds,2800,-23.1,CaCO3,12.24
Bonenburg,Triletes Beds,Event Beds,2800,-23.1,TN,0.22
Bonenburg,Triletes Beds,Event Beds,2800,-23.1,TOCcfb,0.19
