section,strat,strat2,sampleid,height,measurement,value
Bonenburg,Triletes Beds,Event Beds,2650,26.73,del13Ctoc,-23.4
Bonenburg,Triletes Beds,Event Beds,2650,26.73,TOCcfb,0.14
Bonenburg,Triletes Beds,Event Beds,2650,26.73,Na_Al,0.021027501684587578
Bonenburg,Triletes Beds,Event Beds,2650,26.73,K_Al,0.15174898178514837
Bonenburg,Triletes Beds,Event Beds,2700,27.2,CaCO3,12.38
Bonenburg,Triletes Beds,Event Beds,2700,27.2,TN,0.03
Bonenburg,Triletes Beds,Event Beds,2700,27.2,del13Ctoc,-23.4
Bonenburg,Triletes Beds,Event Beds,2700,27.2,TOCcfb,0.18
Bonenburg,Triletes Beds,Event Beds,2700,27.2,Na_Al,0.02062932210371227
Bonenburg,Triletes Beds,Event Beds,2700,27.2,K_Al,0.17472249491976422
Bonenburg,Triletes Beds,Event Beds,2750,27.47,CaCO3,11.23
Bonenburg,Triletes Beds,Event Beds,2750,27.47,TN,0.02
Bonenburg,Triletes Beds,Event Beds,2750,27.47,del13Ctoc,-23.2
Bonenburg,Triletes Beds,Event Beds,2750,27.47,TOCcfb,0.11
Bonenburg,Triletes Beds,Event Beds,2750,27.47,Na_Al,0.028341792553210367
Bonenburg,Triletes Beds,Event Beds,2750,27.47,K_Al,0.1514979023582862
Bonenburg,Triletes Beds,Event Beds,2770,27.65,CaCO3,11.99
Bonenburg,Triletes Beds,Event Beds,2770,27.65,TN,0.02
Bonenburg,Triletes Beds,Event Beds,2770,27.65,del13Ctoc,-23.5
Bonenburg,Triletes Beds,Event Beds,2770,27.65,TOCcfb,0.17
Bonenburg,Triletes Beds,Event Beds,2770,27.65,Na_Al,0.020019333795600502
Bonenburg,Triletes Beds,Event Beds,2770,27.65,K_Al,0.17507607406577244
